phoneme	description
o(i	higher mid back unrounded to high front unrounded diphthong
o(ih	breathy voiced higher mid back unrounded to high front unrounded diphthong
o*	laryngealized higher mid back rounded vowel
o+	higher mid fronted back rounded vowel
o/	higher mid front rounded vowel
o/:	long higher mid front rounded vowel
o/S	overshort higher mid front rounded vowel
o/_	higher mid retracted front rounded vowel
o/y	higher mid front rounded to high front rounded diphthong
o:	long higher mid back rounded vowel
oS	overshort higher mid back rounded vowel
oa	mid back rounded to low central unrounded diphthong
oa9	pharyngealized mid back rounded to low central unrounded diphthong
oa9~	nasalized pharyngealized mid back rounded to low central unrounded diphthong
oa~	nasalized mid back rounded to low central unrounded diphthong
oe	mid back rounded to mid front unrounded diphthong
oh	breathy voiced higher mid back rounded vowel
oi	mid back rounded to high front unrounded diphthong
oi9	pharyngealized mid back rounded to high front unrounded diphthong
oi9~	nasalized pharyngealized mid back rounded to high front unrounded diphthong
oih	breathy voiced higher mid back rounded to high front unrounded diphthong
oi~	nasalized mid back rounded to high front unrounded diphthong
ou	mid back rounded to high back rounded diphthong
ou~	nasalized mid back rounded to high back rounded diphthong
o~	nasalized higher mid back rounded vowel
o~:	long nasalized higher mid back rounded vowel
p	voiceless bilabial plosive
p'	voiceless bilabial ejective stop
p*	laryngealized voiceless bilabial plosive
p:	long voiceless bilabial plosive
p<	voiceless bilabial implosive
pJ	palatalized voiceless bilabial plosive
pJh	palatalized voiceless aspirated bilabial plosive
pW	labialized voiceless bilabial plosive
pW-h	labialized velarized voiceless aspirated bilabial plosive
pf	voiceless labiodental affricate
pf'	voiceless labiodental ejective affricate
pfh	voiceless aspirated labiodental affricate
ph	voiceless aspirated bilabial plosive
phh	voiceless bilabial plosive with breathy release
q	voiceless uvular plosive
q'	voiceless uvular ejective stop
q*	laryngealized voiceless uvular plosive
q9'	pharyngealized voiceless uvular ejective stop
q9h	pharyngealized voiceless aspirated uvular plosive
q:	long voiceless uvular plosive
q<	voiceless uvular implosive
qW	labialized voiceless uvular plosive
qW'	labialized voiceless uvular ejective stop
qW*	laryngealized labialized voiceless uvular plosive
qW9'	labialized pharyngealized voiceless uvular ejective stop
qW9h	labialized pharyngealized voiceless aspirated uvular plosive
qW:	long labialized voiceless uvular plosive
qWh	labialized voiceless aspirated uvular plosive
qX	voiceless uvular affricate
qX'	voiceless uvular ejective affricate
qX':	long voiceless uvular ejective affricate
qX9	pharyngealized voiceless uvular affricate
qX9'	pharyngealized voiceless uvular ejective affricate
qX9':	long pharyngealized voiceless uvular ejective affricate
qX:	long voiceless uvular affricate
qXW	labialized voiceless uvular affricate
qXW'	labialized voiceless uvular ejective affricate
qXW9	labialized pharyngealized voiceless uvular affricate
qXW9'	labialized pharyngealized voiceless uvular ejective affricate
qh	voiceless aspirated uvular plosive
r	voiced alveolar trill
r.	voiced retroflex trill
r.A	voiced retroflex approximant
r.[	voiced retroflex flap
r.[~	nasalized voiced retroflex flap
rA	voiced alveolar approximant
rD	voiced dental trill
rDJ	palatalized voiced dental trill
rDT	voiced dental tap
rDT*	laryngealized voiced dental tap
rD[	voiced dental flap
rJ	palatalized voiced alveolar trill
rT	voiced alveolar tap
r[	voiced alveolar flap
r[*	glottalized voiced alveolar flap
r[-	velarized voiced alveolar flap
r[F	voiced alveolar fricative flap
r[J	palatalized voiced alveolar flap
r_[	voiced palato-alveolar flap
rj	voiced palatal trill
rr	voiced alveolar r-sound
rrD	voiced dental r-sound
rrJ	palatalized voiced alveolar r-sound
s	voiceless alveolar sibilant fricative
s'	voiceless alveolar sibilant ejective fricative
s*	laryngealized voiceless alveolar sibilant fricative
s.	voiceless retroflex sibilant fricative
s.'	voiceless retroflex sibilant ejective fricative
s9	pharyngealized voiceless alveolar sibilant fricative
s:	long voiceless alveolar sibilant fricative
sD	voiceless dental sibilant fricative
sD'	voiceless dental sibilant ejective fricative
sD*	laryngealized voiceless dental sibilant fricative
sD9	pharyngealized voiceless dental sibilant fricative
sDJ	palatalized voiceless dental sibilant fricative
sJ	palatalized voiceless alveolar sibilant fricative
t	voiceless alveolar plosive
t'	voiceless alveolar ejective stop
t-	velarized voiceless alveolar plosive
t.	voiceless retroflex plosive
t.*	laryngealized voiceless retroflex plosive
t.0	voiceless retroflex affricate
t.h	voiceless aspirated retroflex plosive
t.r	voiceless retroflex affricated trill
t.s	voiceless retroflex sibilant affricate
t.s'	voiceless retroflex sibilant ejective affricate
t.sh	voiceless aspirated retroflex sibilant affricate
t0	voiceless alveolar affricate
t0h	voiceless aspirated alveolar affricate
t:	long voiceless alveolar plosive
t<	voiceless alveolar implosive
tD	voiceless dental plosive
tD'	voiceless dental ejective stop
tD*	laryngealized voiceless dental plosive
tD0	voiceless dental affricate
tD0'	voiceless dental ejective affricate
tD0h	voiceless aspirated dental affricate
tD9	pharyngealized voiceless dental plosive
tDJ	palatalized voiceless dental plosive
tDh	voiceless aspirated dental plosive
tDhh	voiceless dental plosive with breathy release
tDs	voiceless dental sibilant affricate
tDs'	voiceless dental sibilant ejective affricate
tDsJ	palatalized voiceless dental sibilant affricate
tDsh	voiceless aspirated dental sibilant affricate
tJ	palatalized voiceless alveolar plosive
tS	voiceless palato-alveolar sibilant affricate
tS'	voiceless palato-alveolar sibilant ejective affricate
tS':	long voiceless palato-alveolar sibilant ejective affricate
tS*	laryngealized voiceless palato-alveolar sibilant affricate
tS-	velarized voiceless palato-alveolar sibilant affricate
tS:	long voiceless palato-alveolar sibilant affricate
tSJ	palatalized voiceless palato-alveolar sibilant affricate
tSJh	palatalized voiceless aspirated palato-alveolar sibilant affricate
tSW	labialized voiceless palato-alveolar sibilant affricate
tSW'	labialized voiceless palato-alveolar sibilant ejective affricate
tSW:	long labialized voiceless palato-alveolar sibilant affricate
tSWh	labialized voiceless aspirated palato-alveolar sibilant affricate
tSh	voiceless aspirated palato-alveolar sibilant affricate
t_	voiceless palato-alveolar plosive
t_h	voiceless aspirated palato-alveolar plosive
th	voiceless aspirated alveolar plosive
thh	voiceless alveolar plosive with breathy release
tlF	voiceless alveolar lateral affricate
tlF'	voiceless alveolar lateral ejective affricate
tlFh	voiceless aspirated alveolar lateral affricate
ts	voiceless alveolar sibilant affricate
ts'	voiceless alveolar sibilant ejective affricate
ts*	laryngealized voiceless alveolar sibilant affricate
ts-	velarized voiceless alveolar sibilant affricate
tsh	voiceless aspirated alveolar sibilant affricate
tshh	voiceless aspirated alveolar sibilant affricate with breathy release
u	high back rounded vowel
u*	laryngealized high back rounded vowel
u+	high central rounded vowel
u+:	long high central rounded vowel
u+S	overshort high central rounded vowel
u9	pharyngealized high back rounded vowel
u9:	long pharyngealized high back rounded vowel
u:	long high back rounded vowel
u@	high back rounded to mid central unrounded diphthong
u@h	breathy voiced high back rounded to mid central unrounded diphthong
uF	fricative high back rounded vowel
uS	overshort high back rounded vowel
u^	high back rounded to lower mid back unrounded diphthong
ua	high back rounded to low central unrounded diphthong
uah	breathy voiced high back rounded to low central unrounded diphthong
uh	breathy voiced high back rounded vowel
ui	high back rounded to high front unrounded diphthong
uih	breathy voiced high back rounded to high front unrounded diphthong
ui~	nasalized high back rounded to high front unrounded diphthong
uo	high back rounded to mid back rounded diphthong
uu	high back unrounded vowel
uu:	long high back unrounded vowel
uu@	high back unrounded to mid central unrounded diphthong
uu@h	breathy voiced high back unrounded to mid central unrounded diphthong
uuF	fricative high back unrounded lip-compressed vowel
uu^	high back unrounded to lower mid back unrounded diphthong
uua	high back unrounded to low central unrounded diphthong
uuh	breathy voiced high back unrounded vowel
uui	high back unrounded to high front unrounded diphthong
uuih	breathy voiced high back unrounded to high front unrounded diphthong
uu~	nasalized high back unrounded vowel
u~	nasalized high back rounded vowel
u~:	long nasalized high back rounded vowel
v	voiced labiodental fricative
vA	voiced labiodental approximant
vJ	palatalized voiced labiodental fricative
vW	labialized voiced labiodental fricative
v[	voiced labiodental flap
vh	breathy voiced labiodental fricative
w	voiced labial-velar approximant
w*	laryngealized voiced labial-velar approximant
wj	voiced labial-palatal approximant
w~	nasalized voiced labial-velar approximant
x	voiceless velar fricative
x'	voiceless velar ejective fricative
x:	long voiceless velar fricative
xJ	palatalized voiceless velar fricative
xW	labialized voiceless velar fricative
xW'	labialized voiceless velar ejective fricative
xW:	long labialized voiceless velar fricative
y	high front rounded vowel
y:	long high front rounded vowel
yo/	high front rounded to mid front rounded diphthong
y~	nasalized high front rounded vowel
z	voiced alveolar sibilant fricative
z,	voiced palatal sibilant fricative
z.	voiced retroflex sibilant fricative
z.*	laryngealized voiced retroflex sibilant fricative
zD	voiced dental sibilant fricative
zD9	pharyngealized voiced dental sibilant fricative
zDJ	palatalized voiced dental sibilant fricative
|	voiceless dental affricated click
|?	glottalized voiceless dental affricated click
|h	voiceless aspirated dental affricated click
|x	velar-fricated voiceless dental affricated click
|xh	velarized voiceless aspirated dental affricated click
